Name,Website,About,Year Founded,Location,Domain,funding_search,perplexity_research,recent_news
Creative Commons,https://creativecommons.org/,"Creative Commons (CC) is an international nonprofit organization dedicated to helping build and sustain a thriving commons of shared knowledge and culture. With our community, we build capacity, we develop practical solutions, and we advocate for better open sharing of knowledge and culture. CC’s long focus on open sharing has evolved into a focus on better sharing: We must pursue a commons of knowledge and culture that is inclusive, just, and which inspires reciprocity — a commons that truly se",2001,"Mountain View, California",,"Creative Commons raised $5,131,012 in 2024 and had $3,871,933 in expenses. They launched new projects in 2023 with support from foundations and companies. Nonprofits can find funding opportunities on grantsforcreators.com.","**1) Recent funding:** No specific recent grants (2023-2025) with amounts and funders are detailed in available sources; the most recent identified is an older grant from the Sloan Foundation for strategic planning on open science, without a specified amount.[1] Ongoing support is noted from the Open Infrastructure Circle for core operations, and the Chan-Zuckerberg Initiative and Gates Foundation have funded open science preprint work (initially Chan-Zuckerberg, continuing with Gates into 2026), but exact amounts are unknown.[4][6]

**2) Major funders/donors:** Known major supporters include the Open Infrastructure Circle (core operations funding), Chan-Zuckerberg Initiative (past open science support), and Gates Foundation (current open science preprint project into 2026); no comprehensive list or rankings are provided.[4][6]

**3) Number of employees/staff:** Unknown.

**4) Recent news or impact work (2023-2025):** In January 2025, Creative Commons launched its 2025-2028 Strategic Plan, focusing on three goals: resilient open infrastructure, thriving creative commons via reciprocity/community, and agency for creators/rightsholders in education, culture, and science.[4] In 2025, they invested in open science (preprint licensing like CC BY on servers such as openRxiv, aligning funder policies, Wikipedia knowledge sharing) and cultural heritage defense; CEO Anna Tumadottir highlighted these in a December 2025 year-in-review.[6] No specific metrics like user numbers or adoption rates are given.[4][6]","Creative Commons expanded its impact in 2024 and 2025, focusing on open access and AI interventions, with plans for continued growth in 2026. They launched new initiatives and secured funding to support their mission."
BlockchainGov,https://blockchaingov.eu/,"BlockchainGov is a transdisciplinary research effort aimed at restoring trust in institutions at the community, institutional and global levels, by promoting better on-chain and off-chain distributed governance practices. Our research explores how public/permissionless or private/permissioned blockchains can serve as a “regulatory technology”, providing technological guarantees to achieve specific regulatory or policy objectives.",,"Paris, France",,"BlockchainGov nonprofit funding grants for 2023, 2024, and 2025 are not specified in the retrieved data. For current grants, check official BlockchainGov sources.","**No specific information on recent funding, grants, major funders/donors, employee/staff numbers, or recent news/impact work (2023-2025) for BlockchainGov is available in the search results.**

- **Recent funding (grants, amounts, funders):** Unknown. Search results list general blockchain grants from organizations like Ethereum Foundation, Solana Foundation, and Arbitrum (e.g., Ethereum distributed $32M across 94 projects in Q1 2025[5]), but none mention BlockchainGov or link to https://blockchaingov.eu/[7].
- **Major funders/donors:** Unknown. Results describe their self-description as an ""EU-funded, transdisciplinary research group"" researching blockchain's impact on governance[7], but no specific funders, grants, or amounts are detailed.
- **Number of employees/staff:** Unknown. No staffing data appears in any results.
- **Recent news or impact work (2023-2025):** Unknown. Results cover broad blockchain grant ecosystems and programs (e.g., Taiko's $25M program[2], Arbitrum Gaming Catalyst with $190M budget[3]), but provide no specifics on BlockchainGov's activities, projects, numbers, or names.","Blockchain technology is expected to enhance transparency and efficiency for nonprofits in 2024-2025, with potential for cryptocurrency donations and reduced administrative costs. Texas became the first U.S. state to invest in a Bitcoin reserve. The Project Liberty Institute is developing governance best practices for blockchain."
Foundation for American Innovation,https://thefai.org/,"The mission of the Foundation for American Innovation is to develop technology, talent, and ideas that support a better, freer, and more abundant future. Ours is a politics of builders, hackers, and founders working to advance a more perfect union between technology and the American republic.",2014,"San Francisco, California",,"The Foundation for American Innovation did not disclose specific funding amounts for 2023, 2024, or 2025. The most recent available data is for 2024, showing $8 billion in total charitable support.","**The Foundation for American Innovation (FAI) received $777,000 from the Survival and Flourishing Fund (SFF-2025, via Jaan Tallinn's ILINA Program) for general support; it awards about $364,685 annually through 2 grants (median $182,000) as a California private foundation.[1][2]**

### 1. Recent Funding (Specific Grants, Amounts, Funders)
- $777,000 grant from Survival and Flourishing Fund (SFF-2025, Jaan Tallinn, ILINA Program) for general support.[1]
- Awards $364,685 annually via 2 grants, with a median grant size of $182,000 (no specific recipients or funders detailed).[2]
No other specific grants with amounts and funders identified in available data.

### 2. Major Funders/Donors
- In 2025: Over **150 donors**, median gift $25,000, average $145,000; breakdown is **56%** from philanthropic foundations/nonprofits, **31%** from industry/venture capital, **13%** from individuals (no foreign government or U.S. adversary-affiliated gifts accepted).[3]
- Survival and Flourishing Fund (via Jaan Tallinn's ILINA Program).[1]
Specific major funder names beyond this are unknown.

### 3. Approximate Number of Employees/Staff
Unknown.

### 4. Recent News or Impact Work (2023-2025)
- **2025**: Significant growth in staffing, revenue, and policy influence; shaped national **AI policy**, energy/permitting reforms; hosted **American Innovation Gala** with **over 45 sponsors** (AI labs, energy firms, VCs, startups, foundations, individuals); planning 2026 gala; expanded programs in **AI**, **technology/telecom**, **governance**, **energy/infrastructure**, **science/defense**, **national security**.[3]
- **2023**: Formerly Lincoln Network (renamed FAI); scholars testified before Congress **6 times**; advanced AI policy, countered China's challenge, strengthened Congress; media role in effective altruism/techno-optimism debates; released 2023 annual report highlighting research, labs, network teams.[5][6]
- **2025**: Launched **Conservative AI Policy Fellowship** (deadline November 3, 2025) for early/mid-career talent on AI policy, national security, U.S.-China competition, privacy/copyright/workforce issues.[7]
- Co-issued **Techno-Industrial Policy Playbook** with American Compass, Institute for Progress, New American Industrial Alliance.[6]","The Foundation for American Innovation (FAI) focuses on national security, governance, and technological innovation. In 2025, FAI published over 300 pieces of research and held numerous events. FAI continues to shape policy and promote American leadership in technology."
Aspen Institute,https://www.aspeninstitute.org/,"The Aspen Institute is a global nonprofit organization committed to realizing a free, just, and equitable society. Founded in 1949, the Institute drives change through dialogue, leadership, and action to help solve the most important challenges facing the United States and the world.",1949,"Washington, D.C.",,"The Aspen Institute raised $232 million in revenue in 2023, with $6.4 million in net income. In 2024, it received $1 million from IKEA Foundation and $7 million in conditional pledges. For 2025, grant applications are open until December 10.","### 1. Recent Funding (Specific Grants, Amounts, and Funders)
Recent funding specifics are limited in available data, focusing on grants received by or administered through Aspen Institute (2023-2025). No comprehensive list of all incoming grants to Aspen Institute itself is detailed.

- **Carnegie Corporation of New York**: $400,000 in 2024 (Education); $300,000 in 2023 (International Program); $600,000 in 2023 (unspecified).[10]
- **USAspending grants** (federal awards to Aspen Institute): $20.3 million total ($16.3 million obligated, $4.0 million non-federal match) under award ASST_NON_SECAGD21CA3083_1900; $8.7 million total under award ASST_NON_72052021FA00002_7200 (specific years and funders not detailed).[8][9]
- **Pivotal**: Supporting $60 million WIN Challenge grant competition launched September 25, 2025 (Aspen Institute administering $20 million each to Culture & Practices, AI, and Narrative pillars, with grants of $2.5-$5 million to up to 8 awardees per pillar).[1]
- **Mastercard Center for Inclusive Growth**: Partnering on 2024-2025 Global Inclusive Growth Spark Grants (amounts unspecified; awarded to 4 AGLN Fellows).[3]

Aspen Institute **made outgoing grants** of $25,019,753 across 161 awards in FY2023 (individual awards $5,000-$1,554,000).[2]

### 2. Major Funders/Donors
Major funders support specific programs (no full organizational donor list available):

| Program/Initiative | Major Funders |
|--------------------|---------------|
| National Commission on Social-Emotional and Academic Development | Anschutz, Gates, Dalio, Joyce, NoVo Foundation (substantial); HopeLab, Stuart Foundation (additional).[4] |
| Ascend Fellowship (2025 cohort and ongoing) | Ann B. and Thomas L. Friedman Family Foundation, Bezos Family Foundation, Buffett Early Childhood Fund, Catto Shaw Foundation, Charlotte Perret Family Trust, David and Lucile Packard Foundation, Doris Duke Foundation, J.B. and M.K. Pritzker Foundation, Kresge Foundation, Liz Blake Giving Fund (Blake Family Foundation), Merle Chambers Fund, Patrice King Brickman, W.K. Kellogg Foundation.[5][7] |
| Global Inclusive Growth Spark Grants (2024-2025) | Mastercard Center for Inclusive Growth.[3] |
| WIN Challenge (2025) | Pivotal ($60 million).[1] |
| General recent grants received | Carnegie Corporation of New York; U.S. federal agencies (via USAspending).[8][9][10] |

### 3. Approximate Number of Employees/Staff
Unknown from available sources.[6]

### 4. Recent News or Impact Work (2023-2025)
- **WIN Challenge (launched September 25, 2025)**: $60 million grant competition (Aspen Digital leading) for workplace innovations benefiting women (and all workers) across Culture & Practices, AI, and Narrative pillars; up to 24 awardees ($2.5-$5 million each); applications closed December 11, 2025 (some pillars later); awardees announced fall 2026.[1]
- **2024-2025 Global Inclusive Growth Spark Grants (announced ~2024)**: 4 awards to AGLN Fellows (part of 22 total since 2020) for inclusive economic models; final year of Mastercard-Aspen partnership (launched 2019).[3]
- **2025 Ascend Fellows (announced September 10, 2025)**: 20 cross-sector leaders selected, bringing total to 182 fellows focused on family prosperity; 18-month program with forums, action plans, coaching, and seed capital.[5][7]",The Aspen Institute released its 2024 and 2025 impact reports highlighting initiatives like Project Play and workplace innovation programs. The 2025 report emphasizes community engagement and investment in youth sports. The $60 million Workplace Innovation Now Challenge aims to support women in the workforce.
American Journalism Project,https://www.theajp.org/,"The American Journalism Project is a venture philanthropy dedicated to local news. They believe local journalism is a public good and are reimagining its future by building a model to finance and sustain the local news our democracy requires. They make grants to local nonprofit news organizations to build their revenue and business operations, partner with communities to launch new organizations, and mentor leaders as they grow and sustain their newsrooms.",2019,"Washington, D.C.",,"The American Journalism Project raised $243 million by 2025, with Knight Foundation and MacArthur Foundation as major donors. In 2024, it committed $8.2 million for grants in 2025. The organization focuses on supporting local news organizations.","**1. Recent funding (specific grants, amounts, and funders):**  
The American Journalism Project (AJP) primarily receives funding from donors rather than making inbound grants to itself; search results detail its outbound grants and total raised. Specific recent outbound grants include:  
- $3.25 million total in January 2023 to three local news organizations (North Carolina, Fort Worth TX, Nebraska newsrooms), bringing its portfolio to 36 grantees and total investments over $40 million[1].  
- $1.4 million three-year grant in October 2024 to The Colorado Sun (and two others: Charlottesville Tomorrow, The Salt Lake Tribune) for business growth[2].  
- $1.4 million in grants (date unspecified, recent context) to 27-28 portfolio newsrooms for AI-driven revenue and civic data projects[6].  
- $3.5 million on January 28, 2025, to three nonprofit news organizations including Cardinal (others unspecified)[7].  
No specific inbound grants to AJP are detailed; total raised since 2019 is $183 million as of 2024[4].  

**2. Major funders/donors:**  
AJP's major funders include:  
- **$5,000,000+ tier** (unspecified names, multiple donors)[4].  
- **$1M–$4.999M tier** (unspecified)[4].  
- **$200K–$999K tier**: Arthur Vining Davis Foundations, Simone Coxe, Draper Richards Kaplan Foundation, **Ford Foundation**, Four Pines Charitable Foundation, William & Flora Hewlett Foundation, Kaplen Brothers Fund, Henry Luce Foundation, Lumina Foundation, The New York Times staff campaign, Posner Foundation of Pittsburgh, Present Progressive Fund, The Schmidt Family Foundation, Erin and John Thornton, Natasha and Dirk Ziff[4].  
Founding/initial support: John S. and James L. Knight Foundation ($20M over 5 years), Arnold Ventures, Craig Newmark Philanthropies, Christopher Buck, Emerson Collective, Facebook Journalism Project, Democracy Fund, Erin and John Thornton[3].  

**3. Approximately how many employees/staff:**  
Unknown; no specific employee or staff numbers are mentioned in available sources.  

**4. Recent news or impact work (2023-2025):**  
- **2023**: Portfolio of grantees reached 36 organizations with over $40M total investments; grantees generated $86M revenue (36% YoY increase over 2022), 56% median revenue growth[1][2].  
- **2024**: Portfolio grew to 50 grantees across 36 states; raised $183M total since 2019; first 22 grantees achieved 3x median ROI, 99% annual revenue increase, hired 216 new journalists; all grantees added $23M net revenue (36% growth); 25 organizations secured $46M additional revenue over baseline, added 226 journalists[4][8].  
- **2025**: Announced $3.5M grants to three news organizations (e.g., Cardinal) on Jan 28[7]; issued 2025 Impact Report noting ongoing portfolio impacts[8].  
Other: Launched AI/Product Studio with $1.4M to 28 newsrooms for revenue/civic data AI tools[6]; total commitments reached $62.7M to 49 organizations across 35 states by late 2024[2].","The American Journalism Project raised over $250 million since 2019, invested in 53 local news organizations, and generated $128 million in revenue in 2024. The project aims to ensure access to trusted local journalism."
Freespoke,https://freespoke.com/,"Freespoke is working to make positive change in the world as a search engine competitor to the ‘Google-model'. Our mission is to change the model to ensure advancements in technology are advancing human flourishing. We're doing this in two major ways: First, in Freespoke you get full privacy so your results aren’t tied to a personal data profile about you. In Freespoke, you own your data. As a part of this solution, you see all viewpoints in your search results. This keeps you from being trappe",2019,"Chicago, Illinois",,"Freespoke nonprofit received grants in 2024-2025, including $25,000 from Florida Department of State. Additional funding opportunities exist for 2025, such as the Pilot Pen's G2 Overachievers Student Grant. For the latest grants, check official nonprofit funding websites.","**No specific information on recent funding, grants, major funders/donors, employee count, or recent news/impact work (2023-2025) for Freespoke is available in the provided search results.**

1. **Recent funding:** Unknown. The search results list general nonprofit grants (e.g., Walmart Foundation: $250-$5,000[1]; AWS IMAGINE Grants: up to $200,000 + credits[2][3]; NBCUniversal Local Impact Grants: nearly $2.5 million total in 2024[2][3]), but none mention Freespoke, specific grants to it, amounts, or funders.[1][2][3]

2. **Major funders/donors:** Unknown. No donors or funders are identified for Freespoke in the results.[1][2][3][4][5]

3. **Number of employees/staff:** Unknown. Employee data is not present in any search results.[1][2][3][4][5]

4. **Recent news or impact work (2023-2025):** Unknown. The results contain no mentions of Freespoke's activities, news, impacts, numbers, or names from this period.[1][2][3][4][5][6][7][8][9][10]","In 2025, many U.S. nonprofits faced funding cuts, impacting services and staff. Nonprofits emphasized impact transparency and authentic storytelling. Trends included digital advocacy and community-led initiatives."
Fairplay,https://fairplayforkids.org/,"We’re a truly independent voice standing up for what kids and families really need. Together, we’ll create a world where kids can be kids, free from the false promises of marketers and the manipulations of Big Tech. action network (jean rodgers) - grassroots arm, different working grps incl. cyberbullying and online harms. 2023 - becoming 501c3 this summer, doing strategizing around what's possible in congress (state legislation, rule making around the FTC), part of issue one council on responsi",2000,"Boston, Massachusetts",,FairPlay raised $10 million in 2025. Oak Foundation made grants totaling $466 million in 2024. FairPlay's funding was led by Infinity Ventures.,"**Fairplay (fairplayforkids.org) is a nonprofit advocating for children's protection from commercialized and screen-obsessed culture, including online safety efforts.[7]**

### 1) Recent funding (specific grants, amounts, funders)
Unknown. Search results list general playground, youth sports, child welfare, and recreation grants from funders like Child Welfare Foundation (varies, ongoing deadlines), Max and Victoria Dreyfus Foundation ($1,000–$20,000, May 12, 2025 deadline), and others, but none confirm awards to Fairplay.[1][2][3][6][8]

### 2) Major funders/donors
Unknown. Fairplay accepts individual donations (tax-deductible, no corporate funding) and encourages monthly giving, but no specific major funders or donors are named.[9][10]

### 3) Approximate number of employees/staff
Unknown. No staff counts are provided in available data.[5]

### 4) Recent news or impact work (2023–2025)
- Advocated for the **Kids Online Safety Act**, which passed the Senate 91-3 with support from Fairplay and survivor parents; aims to protect children from cyberbullying, sextortion, and suicide.[7]
- Filed at the **FTC** with a sworn statement from Meta whistleblower **Kelly Stonelake** (former Horizon Worlds marketing director) to hold **Mark Zuckerberg** accountable for harming kids via Meta platforms.[7]

**Note:** A separate ""Fairplay Inc"" (EIN 27-1790210) focuses on youth development but is distinct from fairplayforkids.org; no funding or staff details overlap.[5] Results lack financial specifics like Form 990 excerpts or confirmed grants for Fairplay.[7]",Fairplay for Kids has warned against AI toys due to privacy and developmental risks. The organization highlighted specific AI toys that could harm children. Fairplay's concerns were supported by over 150 experts.
Civics Unplugged,https://www.civicsunplugged.org/,We create young civic innovators who build a brighter future.,2019,"New York, New York",,"Civics Unplugged raised $1.35 million in contributions for fiscal year 2023. In 2024, they reported $3.26 million in revenue and $3.1 million in expenses. The organization received $33,000 in grants in 2023.","**Civics Unplugged's recent funding includes 2021 revenues of $831,015, with over $500,000 granted to fellows and alumni projects; specific grant amounts from funders are unknown.** Supporters include the Craig Newmark Foundation, Clif Family Foundation, Rockefeller Brothers Fund, and UpMobility Foundation, which helped fund a tuition-free in-person fellowship and enabled over $250,000 in alumni support impacting 4,000,000 people.[1][3]

**Major funders/donors:** Craig Newmark Foundation, Clif Family Foundation, Rockefeller Brothers Fund, UpMobility Foundation (supported in-person fellowship and alumni projects), and cryptocurrency donations totaling $7,943 via The Giving Block; the organization is also part of the RT Youth Power Fund backed by Omidyar Network, Archewell Foundation, New Media Ventures, Oak Foundation, and William and Flora Hewlett Foundation.[1][2][3]

**Number of employees/staff: unknown**, though the team includes named leaders such as CEO Josh Thompson, Chief Program Officer Nick Delis, and directors Abby Binder, Zoë Jenkins, Hilary Kinney, and Adiah Price-Tucker, plus 10 board members.[4]

**Recent news and impact work (2023-2025):** Over 5,000 alumni across 100+ countries; launched Civic Innovation Lab for ventures in democracy, sustainability, media trust; deployed over $100,000 in microgrants worldwide; alumni initiatives include Dream DAO (web3 social impact), Unplugged Strategies (consulting), CoFund (invests in youth projects founded by alumni Nahom Sisay, Avi Siegel, Liam Hoffman, Emma Shultz, Jessie Cai), and Extracurriculando (education); one alumnus project led to comprehensive health education for 3,000,000+ California students via Sriya S.[4][6][9] Earlier milestones include 150 founding fellows (launch year), 3,000 fellows from all 50 states by ~2022, and a June in-person fellowship with 75 high school students from 41 states/Puerto Rico.[3][4] Commence 2030 fundraising campaign began in 2020.[1] No specific 2023-2025 news beyond growth metrics is detailed.[1][3][4]","Civics Unplugged is a nonprofit focused on civic innovation, with over 5,000 alumni worldwide, promoting systems change and community impact. They emphasize the Four C’s: Commitment, Collaboration, Community, and Curiosity. Their initiatives include fellowships and programs for youth civic engagement."
DWeb,https://getdweb.net/,"DWeb connects the people, projects and protocols essential to building a decentralized web. A web that is more private, reliable, secure and open. A web with many winners—returning to the original vision of the World Wide Web and internet. Since 2016 we have been a bridge enabling diverse communities to freely exchange ideas about the technologies, values, markets and agreements we need to move forward.",,"California, United States of America",,"DWeb nonprofit funding grants raised $500,000 in 2025 for diverse community support. Florida grants for nonprofits include $50,000 from Adams Foundation. Wisconsin WEDC grants support economic development with $500,000 available.","**No specific information on recent funding, grants, funders/donors, employee/staff count, or recent news/impact work (2023-2025) for the nonprofit/organization ""DWeb"" (https://getdweb.net/) is available in the search results.**

- **Recent funding (specific grants, amounts, funders):** Unknown. The results discuss general nonprofit grants (e.g., AWS IMAGINE Grants of $50,000–$200,000[1], MI Impact Grants of $15 million total[5]) but none mention DWeb or getdweb.net.[2][3][4][5][6]
- **Major funders/donors:** Unknown. No DWeb-specific donors are identified; one result notes dWeb Foundation (a separate GitHub repo) gives grants of $25k–$150k but provides no incoming funding details for DWeb.[2]
- **Approximate number of employees/staff:** Unknown. No staffing data appears in any results.
- **Recent news or impact work (2023-2025):** Unknown. Results cover unrelated grants (e.g., MI Funding Hub reaching 5,000 people since 2024[3], NBCUniversal grants of $2.5 million in 2024[1]) with no references to DWeb's activities, numbers, or names.","In 2024-2025, government funding disruptions significantly impacted nonprofits, leading to reduced staffing and program cuts. Nonprofits prioritized major gifts and revenue diversification. Blackbaud's 2024 report highlights increased donations and social impact initiatives."
Becca Schmill Foundation,http://www.beccaschmillfdn.org/,"The Becca Schmill Foundation funds research, sponsors community education, and advocates for policies, that protect the emotional well-being of adolescents and young adults.",2021,"Needham, Massachusetts",,"The Becca Schmill Foundation raised $79.5k in revenue in 2024, primarily from contributions. The foundation focuses on funding research and advocating for policies to protect children from social media harms. The foundation's financial details are available on ProPublica.","1. **Recent funding:** The Becca Schmill Foundation provided a grant of $10,000 USD to Stephanie A. Nairn for ""Gender-targeted Substance Use Interventions for Young Cisgender and Transgender Women"" (2023-2025).[1] No other specific grants, amounts, or funders received by the foundation are identified in available sources.

2. **Major funders/donors:** Specific major funders or donors are unknown; the foundation lists event sponsors including Platinum, Gold, Silver, and Bronze levels (unnamed except Bronze: Dedham Savings, Fann’s Tailor Shop, Leaning Express-Needham, Roche Brothers, Village Bank).[5]

3. **Number of employees/staff:** Approximately 0 employees; the foundation is run entirely by volunteers, with no paid staff mentioned.[2]

4. **Recent news or impact work (2023-2025):** Funded a $10,000 USD research project (2023-2025) on gender-targeted substance use interventions for young cisgender and transgender women, led by Stephanie A. Nairn, including a 2025 white paper/report.[1] Leading a nationwide initiative for bell-to-bell phone-free schools.[5] Collaborations include MGH/North Shore Recovery High School/Pretaa for youth recovery outcomes, BMC/Dr. Sarah Bagley for youth substance use/overdose prevention, and Boston Children’s Hospital/Dr. Bryn Austin for social media research; participated in International Overdose Awareness Day and an interview with Jimmy Tingle.[4] Advocated at the 1/31/24 Senate Judiciary Committee Hearing (Deb Schmill, Joann Bogard, Kristin Bride with Mark Zuckerberg).[5] No specific metrics like numbers served are available.",The Becca Schmill Foundation advocates for social media reform and funds research to protect children from online harm. It supports Distraction-Free Schools initiatives and lobbies for the Kids Online Safety Act. The foundation aims to prevent tragedies like the one that claimed Becca Schmill's life.
Civic Health Project,https://civichealthproject.org/,"Civic Health Project is deploying massively scalable solutions to America’s dangerous divisions so that our relationships, communities, and country can thrive. We advance pioneering approaches with massive potential to scale, mobilizing resources across the domains of technology, entertainment, movement building, and research.",,"Palo Alto, California",,"The Civic Health Project awarded grants in 2024, focusing on repairing political divisions and fostering social cohesion. Funding details for 2025 are not available. The project continues to seek additional funders.","1. **Recent funding:** Unknown. No specific grants received by Civic Health Project, amounts, or funders are detailed in available sources[1][7].

2. **Major funders/donors:** Their primary funding source is co-founder Rob Romero’s donor-advised fund, which they augment through external fundraising and collaborative co-funding arrangements[1].

3. **Number of employees/staff:** Unknown. Sources mention two contact emails (kristin@civichealthproject.org and rob@civichealthproject.org) but provide no staff count[1].

4. **Recent news or impact work (2023-2025):** Since 2019, they have awarded >75 field grants (also stated as >70 grants), incubated in-house projects, published thought leadership, and mobilized millions of philanthropic dollars for bridge-building work across political and social divides[7]. They engage in grantmaking & fundraising as one of four main activity areas, using a venture capital approach to evaluate and scale impact[1]. No specific 2023-2025 news, projects, numbers, or names beyond these aggregates are available.","Civic Health Project focuses on reducing political divisions and fostering social cohesion through grants and strategic projects. In 2025, they aim to scale solutions using technology. They have awarded over 75 grants to grassroots initiatives."
Georgetown University,https://www.georgetown.edu/,"Established in 1789 by Archbishop John Carroll, Georgetown is the oldest Catholic and Jesuit university in the United States. Located in Washington DC, Doha, Qatar, and around the world, Georgetown University is a leading academic and research institution, offering a unique educational experience that prepares the next generation of global citizens to lead and make a difference in the world.",1789,"Washington, D.C.",,"Georgetown University raised $200,000 in lobbying funds in 2023 and 2024. The Atlantic Philanthropies granted $278,000 to Georgetown in 1996. Georgetown received no recent grants for 2023-2025.","Based on the search results provided, I can only partially answer your questions about Georgetown University's funding and operations.

## Recent Funding

The search results contain limited information about Georgetown's recent funding:

- **Sloan Foundation Grant:** Georgetown University received funding from the Alfred P. Sloan Foundation to develop and share scalable methods for identifying, classifying, and analyzing evidence about emerging technologies[9], though the specific grant amount is not disclosed in the results.

- **Internal Research Grants:** Georgetown offers Annual Research Grants (ARG) between $5,000 and $10,000 to faculty for research expenses[3], and Student Research Grants to graduate students[1], but these are internal funding programs rather than external funding received by the university.

## Major Funders/Donors

**Unknown.** The search results do not contain information about Georgetown University's major external funders or donors.

## Number of Employees/Staff

**Unknown.** The search results do not provide data on Georgetown's total employee or staff count.

## Recent News or Impact Work (2023-2025)

**Unknown.** The search results do not include information about recent news, impact work, or specific accomplishments during this period. The results primarily focus on Georgetown's internal funding and scholarship programs rather than organizational impact or external recognition.

To obtain comprehensive answers to your questions, you would need to consult Georgetown's official financial reports, annual reports, institutional websites, and news sources covering the university's operations and impact during 2023-2025.",Georgetown University's Beeck Center released its 2024 impact report highlighting civic technology advancements and community service initiatives. The report details projects like the PA.gov redesign and AI legislation scans. The Beeck Center also celebrated its 10th anniversary in 2024.
Common Era,http://commonera.org/,"Common Era is an R&D platform working to make sure that the Jewish experience continually evolves to meet the present moment, today and in the future. Through our explorations and our collaborations with creators, builders, subcultures, and social movements, we're imagining and funding initiatives and experiences that offer the world a more expansive Jewish reality for new audiences. We will ensure that Jewish education and life is an ongoing movement, designed for today and the future, empower",,"New Orleans, Louisiana",,"In 2025, project-based funding outpaced general support; grant proposals must now include detailed project designs and measurable outcomes. Nonprofits faced funding challenges, with many shifting strategies to adapt. Government funding priorities shifted towards infrastructure and technology.","1) **Recent funding for Common Era is unknown.** No specific grants, amounts, or funders for this organization appear in available search results[1][2][3][4][5][6][7][8][9][10].

2) **Major funders/donors for Common Era are unknown.** Search results do not identify any donors or funders associated with this organization[1][2][3][4][5][6][7][8][9][10].

3) **Approximate number of employees/staff for Common Era is unknown.** No information on staff size is provided in the search results[1][2][3][4][5][6][7][8][9][10].

4) **Recent news or impact work (2023-2025) for Common Era is unknown.** The organization's site describes it as an R&D platform to keep the Jewish experience relevant, but no specific 2023-2025 projects, numbers, or names are detailed[7][10].","Nonprofit trends in 2025 include increased in-person engagement and reliance on AI for operations. Membership revenue remains strong, with a focus on personalized member experiences. Remote work trends shift nonprofit strategies towards more physical community involvement."
Artificiality Institute,https://artificialityinstitute.org/,"The Artificiality Institute is a nonprofit research organization shaping the human experience in a world of synthetic intelligence—so our future with AI is more meaningful, not just more efficient. Through story-based research, immersive education, and cultural dialogue, we capture how identities blend, cognition extends beyond biology, and meaningful symbiosis with synthetic minds becomes reality. We don’t just study AI—we shape how it reshapes us.",2019,"Bend, Oregon",,"In 2023, federal agencies invested $118.5 million in AI Institutes; in 2024, it was $69 million; for 2025, funding details are pending. F5 offers $50,000 grants for 2025 STEM education focused on AI for women and girls of color.","I don't have information about the ""Artificiality Institute"" in the provided search results. The search results contain information about various AI funding sources and grant programs (such as grants from the Patrick J. McGovern Foundation, Cooperative AI Foundation, and NSF), but they do not include any specific data about an organization called ""Artificiality Institute.""

To obtain the information you're seeking about this organization—including their recent funding, major funders, staff size, and recent impact work—I would recommend:

- Visiting their website directly (artificiality.org)
- Checking their annual reports or financial disclosures if publicly available
- Reviewing their social media accounts or news coverage
- Contacting the organization directly for specific details about funding and staffing

If you have additional search results about this organization or would like information about other AI-focused organizations or funding opportunities, I'd be happy to help.","Nonprofits are increasingly using AI to enhance their impact, with many collaborating to share tools and accelerate collective learning. Funding and flexible support are crucial for nonprofits to responsibly develop AI solutions. KPMG U.S. Foundation committed $6 million in 2025 to help nonprofits integrate AI."
Check My Ads,http://www.checkmyads.org/,"The digital ad industry has taken away our fundamental right to make independent, informed choices for ourselves. Our team works closely with consumers, brands, and regulators to defend your freedom from the industry’s most shameful, irresponsible practices.",2021,United States of America,,"Check My Ads raised funding through individual donations, major donors, and foundation grants in 2024. They also received Google Ad Grants for 2025. The organization continues to seek funding for 2025.","I don't have sufficient information to answer your questions about Check My Ads' funding, major funders, staff size, or recent impact work.

The search results provided include only a brief reference to Check My Ads[7] identifying it as ""a registered 501(c)3 non-profit organization,"" but contain no details about its finances, donors, staffing, or recent activities. To obtain this information, you would need to:

- Visit Check My Ads' official website and look for annual reports, financial disclosures, or donor information
- Check nonprofit databases such as GuideStar, Charity Navigator, or the IRS Form 990 (which U.S. nonprofits must file publicly)
- Contact the organization directly for information about their funding and operations
- Review their social media channels and news coverage for recent impact reports","Check My Ads made significant impact in 2024 and 2025, advocating for adtech reform and supporting the AMERICA Act. They worked globally to influence policy and protect digital rights."
