Name,Website,Domain,About,Year Founded,Location
Fast Forward,https://www.ffwd.org/,,"Fast Forward brings the tech and nonprofit communities together to deploy technology to solve humanity's biggest challenges. Through its annual Startup Accelerator, Fast Forward equips a cohort of tech nonprofit startups with seed funding, mentorship, and community. Its portfolio includes nearly 90 tech nonprofits across every issue area, which have impacted 186M lives and raised $753M in follow-on funding. Its ‘AI for Humanity’ initiative further extends its mission by supporting AI-powered non",2014,"San Francisco, California"
"Centre for Media, Technology, and Democracy",https://www.mediatechdemocracy.com/,,"The Centre for Media, Technology and Democracy (CMTD) is an interdisciplinary research centre at McGill University dedicated to understanding and strengthening the relationship between media, technology, and democracy. In an era where digital platforms have transformed how we communicate, organize, and govern, the Centre addresses both the opportunities and challenges these technologies present to democratic societies.",2019,"Montreal, Quebec, Canada"
Consumers International,https://www.consumersinternational.org/,,"Consumers International is the membership organisation for consumer groups around the world. We bring together over 200 organisations in more than 100 countries to empower and champion the rights of consumers everywhere. We are their voice in international policy-making forums and the global marketplace to ensure they are treated safely, fairly and honestly. We work in partnership and exercise our influence with integrity, tenacity and passion to deliver tangible results.",1960,"London, United Kingdom"
Ethereum Name Service,https://ens.domains/,,"ENS is a decentralized naming system that translates complex cryptocurrency addresses into human-readable names, such as ""nick.eth."" ENS enhances user experience by simplifying transactions, reducing errors, and providing a consistent identity across decentralized applications and platforms.",2017,"Singapore, Singapore"
FreeOurFeeds,https://freeourfeeds.com/,,FreeOurFeeds is a campaign to establish independent governance over social media infrastructure.,2025,"Washington, D.C."
Centre for Data Futures,https://www.kcl.ac.uk/research/centre-for-data-futures,,"The Centre for Data Futures at King's College London is the first-ever dedicated academic centre of expertise to focus on designing and studying the effect of participatory infrastructure over the life cycle of data-reliant tools: from the point of data generation, through data empowerment structures, all the way to interface design that incentivises long-term, collective participation.",2024,"London, United Kingdom"
Future Caucus,https://futurecaucus.org/,,"Future Caucus is a bipartisan organization for Gen Z and millennial lawmakers, bridging the partisan divide to lead collaborative governance and transform American politics.",2013,"Washington, D.C."
Website,https://futurecaucus.org/,,"Future Caucus is a bipartisan organization for Gen Z and millennial lawmakers, bridging the partisan divide to lead collaborative governance and transform American politics.",2013,"Washington, D.C."
Collective Intelligence Project,http://www.cip.org/,,"CIP is building democratic AI that works for everyone. We collaborate directly with AI labs, non-profits, and governments to develop and deploy systems that allow people around the world to steer the trajectory of AI.",2023,"San Francisco, California"
Children and Screens: Institute of Digital Media and Child Development,http://www.childrenandscreens.org/,,"Children and Screens: Institute of Digital Media and Child Development is dedicated to understanding and addressing compelling questions regarding media’s impact on child development through interdisciplinary dialogue, public information, and rigorous, objective scientific research bridging the medical, neuroscientific, social science, education, and academic communities.",2013,"Jericho, New York"
Cyber Collective,http://www.cybercollective.org/,,"Cyber Collective blends culture, creativity, and research to teach digital safety in ways people actually understand. We run workshops, create accessible curricula, train community leaders, and develop tools like Internet Street Smarts to help marginalized communities, youth, and creatives build digital confidence, recognize online risks, and protect themselves and their communities.",2019,"New York, New York"
ex/ante,https://www.buildexante.com/,,"ex/ante is an early-stage venture fund investing in technology that advances human agency and user control over privacy, data, assets, and information. The fund invests in pre-seed and seed-stage companies spanning data infrastructure, cybersecurity, AI/ML, decentralization & web3, and information integrity.",2022,"Brooklyn, New York"
Ashoka,https://www.ashoka.org/en-us,,"Ashoka is the world’s largest network of social entrepreneurs. The organization pioneered the field of social entrepreneurship forty years ago and has supported to date almost four thousand Ashoka Fellows across the globe with stipends, catalytic connections, strategic advice, and an unmatched peer community that is for life. Drawing insights from its network, Ashoka identifies and open-sources the underlying patterns of transformative change and has introduced and mainstreamed such words as “so",1982,"Arlington, Virginia"
Common Sense Media Inc,https://www.commonsensemedia.org/,,"Since 2003, Common Sense has been the leading source of entertainment and technology recommendations for families and schools. Every day, millions of parents and educators trust Common Sense reviews and advice to help them navigate the digital world with their kids. Together with policymakers, industry leaders, and global media partners, we're building a digital world that works better for all kids, their families, and their communities.",2003,"San Francisco, California"
Decentralization Research Center,http://www.thedrcenter.org/,,"The Decentralization Research Center (DRC) is a 501(c)(4) social welfare non-profit that advocates for decentralization as a fundamental characteristic of emerging technologies. This includes the development of blockchain protocols and applications that are immutable, censorship resistant, transparent, secure, and enable data self-sovereignty. We find ourselves at a unique moment in history. Recent developments in technologies like blockchain, artificial intelligence, and quantum computing have",,"Arlington, Virginia"
Future of Life Institute,https://futureoflife.org/,,Steering transformative technology towards benefiting life and away from extreme large-scale risks. We believe that the way powerful technology is developed and used will be the most important factor in determining the prospects for the future of life. This is why we have made it our mission to ensure that technology continues to improve those prospects.,2014,"Cambridge, Massachusetts"
Centri Tech Foundation,https://www.centritechfdn.org/,,"The Centri Tech Foundation (CTF) partners with local organizations to tackle community challenges using technology-driven solutions. We focus on creating sustainable improvements in economy, health, and education. By collaborating with diverse stakeholders, we develop strategies that yield long-term benefits. CTF is dedicated to building an inclusive economy, especially for low-income and historically excluded communities. Our mission is to provide access to technology, empowering these communit",2020,"Washington, D.C."
Beyond the Screen,https://www.beyondthescreen.org/,,"Beyond the Screen is a coalition of technologists, designers, and thinkers fighting against online harms, led by the Facebook whistle-blower Frances Haugen. Social networks like Facebook, Instagram, YouTube and TikTok have shown us that they can’t be trusted to do what’s right for society. We’re building a coalition to fight back, by raising awareness of the online harms that social networks are causing, and creating new capacity in technology, research and litigation. Raise Awareness Big tec",2022,Virtual
For Freedoms,https://forfreedoms.org/,,"For Freedoms believes citizenship is defined by participation, not by ideology. Through anti-partisan nationwide programming, they use art as a vehicle for participation to deepen public discussions on civic issues and core values. For Freedoms is a hub for artists, arts institutions, and citizens who want to be more engaged in public life.",2016,"New York, New York"
CyberPeace Institute,https://cyberpeaceinstitute.org/,,"Cyberattacks directly affect people. From hospitals to humanitarian NGOs, threat actors target the organizations playing an essential role in supporting those most in need. We are an NGO, supporting NGOs and other critical sectors, offering free cybersecurity assistance, threat detection and analysis whilst advocating for safety and security in cyberspace. Our commitment to assist and protect vulnerable communities determines the focus of the activities of the Institute.",2019,"Genève, Switzerland"
Creative Commons,https://creativecommons.org/,,"Creative Commons (CC) is an international nonprofit organization dedicated to helping build and sustain a thriving commons of shared knowledge and culture. With our community, we build capacity, we develop practical solutions, and we advocate for better open sharing of knowledge and culture. CC’s long focus on open sharing has evolved into a focus on better sharing: We must pursue a commons of knowledge and culture that is inclusive, just, and which inspires reciprocity — a commons that truly se",2001,"Mountain View, California"
BlockchainGov,https://blockchaingov.eu/,,"BlockchainGov is a transdisciplinary research effort aimed at restoring trust in institutions at the community, institutional and global levels, by promoting better on-chain and off-chain distributed governance practices. Our research explores how public/permissionless or private/permissioned blockchains can serve as a “regulatory technology”, providing technological guarantees to achieve specific regulatory or policy objectives.",,"Paris, France"
Foundation for American Innovation,https://thefai.org/,,"The mission of the Foundation for American Innovation is to develop technology, talent, and ideas that support a better, freer, and more abundant future. Ours is a politics of builders, hackers, and founders working to advance a more perfect union between technology and the American republic.",2014,"San Francisco, California"
Aspen Institute,https://www.aspeninstitute.org/,,"The Aspen Institute is a global nonprofit organization committed to realizing a free, just, and equitable society. Founded in 1949, the Institute drives change through dialogue, leadership, and action to help solve the most important challenges facing the United States and the world.",1949,"Washington, D.C."
American Journalism Project,https://www.theajp.org/,,"The American Journalism Project is a venture philanthropy dedicated to local news. They believe local journalism is a public good and are reimagining its future by building a model to finance and sustain the local news our democracy requires. They make grants to local nonprofit news organizations to build their revenue and business operations, partner with communities to launch new organizations, and mentor leaders as they grow and sustain their newsrooms.",2019,"Washington, D.C."
Freespoke,https://freespoke.com/,,"Freespoke is working to make positive change in the world as a search engine competitor to the ‘Google-model'. Our mission is to change the model to ensure advancements in technology are advancing human flourishing. We're doing this in two major ways: First, in Freespoke you get full privacy so your results aren’t tied to a personal data profile about you. In Freespoke, you own your data. As a part of this solution, you see all viewpoints in your search results. This keeps you from being trappe",2019,"Chicago, Illinois"
Fairplay,https://fairplayforkids.org/,,"We’re a truly independent voice standing up for what kids and families really need. Together, we’ll create a world where kids can be kids, free from the false promises of marketers and the manipulations of Big Tech. action network (jean rodgers) - grassroots arm, different working grps incl. cyberbullying and online harms. 2023 - becoming 501c3 this summer, doing strategizing around what's possible in congress (state legislation, rule making around the FTC), part of issue one council on responsi",2000,"Boston, Massachusetts"
Civics Unplugged,https://www.civicsunplugged.org/,,We create young civic innovators who build a brighter future.,2019,"New York, New York"
DWeb,https://getdweb.net/,,"DWeb connects the people, projects and protocols essential to building a decentralized web. A web that is more private, reliable, secure and open. A web with many winners—returning to the original vision of the World Wide Web and internet. Since 2016 we have been a bridge enabling diverse communities to freely exchange ideas about the technologies, values, markets and agreements we need to move forward.",,"California, United States of America"
Becca Schmill Foundation,http://www.beccaschmillfdn.org/,,"The Becca Schmill Foundation funds research, sponsors community education, and advocates for policies, that protect the emotional well-being of adolescents and young adults.",2021,"Needham, Massachusetts"
Civic Health Project,https://civichealthproject.org/,,"Civic Health Project is deploying massively scalable solutions to America’s dangerous divisions so that our relationships, communities, and country can thrive. We advance pioneering approaches with massive potential to scale, mobilizing resources across the domains of technology, entertainment, movement building, and research.",,"Palo Alto, California"
Georgetown University,https://www.georgetown.edu/,,"Established in 1789 by Archbishop John Carroll, Georgetown is the oldest Catholic and Jesuit university in the United States. Located in Washington DC, Doha, Qatar, and around the world, Georgetown University is a leading academic and research institution, offering a unique educational experience that prepares the next generation of global citizens to lead and make a difference in the world.",1789,"Washington, D.C."
Common Era,http://commonera.org/,,"Common Era is an R&D platform working to make sure that the Jewish experience continually evolves to meet the present moment, today and in the future. Through our explorations and our collaborations with creators, builders, subcultures, and social movements, we're imagining and funding initiatives and experiences that offer the world a more expansive Jewish reality for new audiences. We will ensure that Jewish education and life is an ongoing movement, designed for today and the future, empower",,"New Orleans, Louisiana"
Artificiality Institute,https://artificialityinstitute.org/,,"The Artificiality Institute is a nonprofit research organization shaping the human experience in a world of synthetic intelligence—so our future with AI is more meaningful, not just more efficient. Through story-based research, immersive education, and cultural dialogue, we capture how identities blend, cognition extends beyond biology, and meaningful symbiosis with synthetic minds becomes reality. We don’t just study AI—we shape how it reshapes us.",2019,"Bend, Oregon"
Check My Ads,http://www.checkmyads.org/,,"The digital ad industry has taken away our fundamental right to make independent, informed choices for ourselves. Our team works closely with consumers, brands, and regulators to defend your freedom from the industry’s most shameful, irresponsible practices.",2021,United States of America
American Security Foundation,http://www.americansecurityfund.com/american-security-foundation,,"ASFoundation works to ensure AI is understandable, controllable, responsible, ethical, and human-centered - and insists the best way to achieve these goals is for America and its allies to lead the tech revolution. It focuses on conducting original research and analysis; supporting external research and analysis; and engaging academics, ethicists, and faith communities, both to educate them about AI and to involve them in AI development and regulation.",2024,United States of America
Atlas Computing,https://atlascomputing.org/,,"​Atlas Computing is a nonprofit advancing a new paradigm for scaling human review of AI. We're focused on a new paradigm where people specify objective criteria that they want from AI outputs, and the AI systems prove that the solutions indeed have those properties. Our two goals are generally raising awareness of specification-based AI and driving technical progress in a few specific domains, starting with dramatically lowering the cost of formally verifying software.",2023,"Palo Alto, California"
Centre for International Governance Innovation,https://cigionline.org/,,"The Centre for International Governance Innovation (CIGI) is an independent, non-partisan think tank whose peer-reviewed research, foresight and trusted analysis influence policy makers to innovate. With the engagement of a global network of experts and contributors, CIGI tackles the governance challenges and opportunities of data and transformative technologies, including AI, and their impact on the economy, security, democracy and, ultimately, societies.",2001,"Waterloo, Canada"
All Tech Is Human,https://atih.responsibletechguide.com/about,,"All Tech Is Human is a non-profit that unites a diverse range of stakeholders to expand the overall Responsible Tech ecosystem and co-create a better tech future. Our range of activities include a large community Slack group, regular online and in-person gatherings, a mentorship program, working groups that develop impactful community reports, a Responsible Tech Job Board, events calendar, and a university ambassadors program. The three key areas we focus on include greatly diversifying the tech",2018,"New York, New York"
Dream.org,https://dream.org/,,"At Dream.Org, we know that some of our greatest problems also contain some of our greatest opportunities. But we know we can’t make lasting change without a big, broad coalition. From ending mass incarceration, to stopping climate change, to creating new economic opportunities in overlooked communities, the only durable solutions are the ones that lots of people create together. Common ground is often found in uncommon places. We will work with anyone who is willing to be a part of the solution,",2014,"Oakland, California"
American Security Fund,http://www.americansecurityfund.com/,,"ASF advances American tech superiority by connecting industry, government, and ethics, encouraging them to collaborate to invest in AI security, safety, and alignment. It focuses on export controls, supply chains, lab security, CBRN, public-private partnerships, democratic tech alliances & partnerships, and child safety and ethics across the full tech stack, including AI, digital infrastructure, semiconductor “chips,” and energy & critical minerals.",2023,United States of America
Amplifier,https://amplifier.org/,,"Amplifier is a nonprofit design lab that builds art and media experiments to amplify the most important movements of our times. At Amplifier, the work we do building these symbols matters – but not as much as the work you do carrying them into the world.",2015,"Los Angeles, California"
Data-Pop Alliance,https://datapopalliance.org/,,"Data-Pop Alliance (DPA) is a non-profit “think-and-do-tank” created in 2013 by the Harvard Humanitarian Initiative, MIT Connection Science, and ODI that brings together researchers, practitioners, and activists from all over the world who want to “Change the World with Data” through 3 pillars of work: diagnosing local realities and human problems with data and AI; mobilizing capacities, communities, and ideas towards more data literate societies; and, ultimately, transforming the systems and pro",,Virtual
Engage Media,https://engagemedia.org/,,"Established in 2005, EngageMedia is a regional human rights collective with a distributed team in eight countries across Asia-Pacific dedicated to advocating digital rights and championing open technology in the region. We combine capacity building, knowledge sharing, tech enablement, community development, and digital storytelling to support civil society organisers, grassroots activists, independent journalists, academics, lawyers, and other human rights defenders who are working towards the r",,"Melbourne, Australia"
Blockchain Foundation,https://theblockfound.com/,,"Blockchain Foundation, a 501c3 organization, is leading an industry-wide blockchain & cryptocurrency education movement. It will include a digital library of trusted content from reputable crypto enterprises and a six city roadshow to collaborate with local organizations.",2018,"Washington, D.C."
Electronic Privacy Information Center,https://epic.org/,,"EPIC was founded in 1994 to protect privacy, freedom of expression, and democratic values in the information age. EPIC has distinguished itself as a leader in the field by litigating cases on emerging privacy issues, obtaining and publishing records to lift the veil on government data collection, advocating for comprehensive data protection regulations, educating the public about emerging privacy issues, and facilitating dialogue between advocates, experts, and decisionmakers.",1994,United States of America
Block Party,http://www.blockpartyapp.com/,,"Block Party is on a mission to make the internet safer for everyone. We help people protect their online presence from being weaponized against them in social engineering attacks, harassment campaigns, and fraud through a browser plug-in that identifies and remediates first-party data overexposures across 11+ platforms, including Facebook, LinkedIn, and X/Twitter. Our secure, privacy-preserving extension helps users deep clean their social media accounts, notifications, settings, and more in ju",2018,"California, United States of America"
Digital Democracy,https://www.digital-democracy.org/,,"Digital Democracy’s mission is to empower marginalized communities to use technology to defend their rights and fight climate change. As technology becomes cheaper and more accessible, we believe it can and should be used to bring more voices to the table. Digital Democracy helps our partners achieve transformative change and works toward a world where all people can participate in decisions that govern their lives.",2008,"Oakland, California"
Ethical AI Alliance,http://www.ethicalaialliance.org/,,"The Ethical AI Alliance is an interdisciplinary, grassroots movement building global accountability for artificial intelligence. We bring together researchers, technologists, activists, and artists from the Global South and beyond to map AI harms, co-create ethical standards, and design governance frameworks rooted in justice, transparency, and collective responsibility.",2024,"Malaga, Spain"
DoSomething,https://www.dosomething.org/us,,"DoSomething is a 30-year leading hub for youth-centered activism, with over 1 million active members, activating over 8 million young people in every U.S area code and 189 countries. We fuel young people to change the world. Transforming civically curious young people into civically committed leaders, our campaigns and programs educate and equip young people (13 to 25) to build solutions to the issues that matter most to them. Leveraging technology, youth culture and creative peer-to-peer engage",1993,"New York, New York"
Democracy4all,http://www.democracy4all.barcelona/,,"Democracy4All (D4A) is an annual conference in Barcelona dedicated to advancing digital governance. The event explores how blockchain, web3, and AI can enhance transparency, efficiency, and citizen engagement in democratic processes. Each year, D4A brings together global experts, policymakers, industry leaders, and innovators to share insights, discuss challenges, and propose solutions for the future of governance. The conference features keynote speeches, panel discussions, interactive workshop",,Spain
Center for Humane Technology,https://www.humanetech.com/,,"The Center for Humane Technology works to catalyze a humane future. We reframe the insidious effects of persuasive technology, expose the runaway systems beneath, and deepen the capacity of global decision-makers and everyday leaders to take wise action.",2018,"San Francisco, California"
Bellingcat,http://bellingcat.com/,,"Bellingcat is an independent international collective of researchers, investigators and citizen journalists using open source and social media investigation to probe a variety of subjects – from Mexican drug lords and crimes against humanity, to tracking the use of chemical weapons and conflicts worldwide. With staff and contributors in more than 20 countries around the world, we operate in a unique field where advanced technology, forensic research, journalism, investigations, transparency and",2014,"Amsterdam, Netherlands"
betaworks,https://www.betaworks.com/,,"betaworks Invests, accelerates, and builds emerging technology companies.",2008,"New York, New York"
House of Electronic Arts,https://www.hek.ch/,,"HEK (House of Electronic Arts) in Basel is dedicated to digital culture and the new art forms of the Information Age. Since 2011, the institution has been central to the creative and critical discourse on the aesthetic, socio-political and economic effects of media technologies. As a platform for contemporary art that explores and employs new technologies, HEK promotes aesthetic practices related to information technologies. This not only enables a better comprehension of the changing world we l",2011,"Muenchenstein, Switzerland"
Global Partnership for Sustainable Development Data,https://www.data4sdgs.org/,,"A global network using data to achieve the Sustainable Development Goals—improving lives, fighting inequality, and promoting environmental sustainability. We leverage the power of data to change minds, policies, and lives for the better. Our aim is to ensure that data can be put to good use to achieve the Sustainable Development Goals. We work across 35+ countries and convene a network based in 80+ countries.",2015,"New York, New York"
Hopelab,http://hopelab.org/,,"Hopelab is a social innovation lab and impact investor at the intersection of tech and youth mental health. As the team builds on our 20-year commitment to co-creating with young people, we work collaboratively with partners to help remove systemic barriers to youth mental health and emotional well-being. Through targeted social impact investments, hands-on design and research support for digital innovation, and translational science partnerships, Hopelab is helping to shape a future where young",2001,"San Francisco, California"
Global Solutions Initiative,https://www.global-solutions-initiative.org/,,"Global Solutions Initiative was founded in 2017 by President Dennis J. Snower during the German G20 Presidency. Our work is rooted in independent research. We bring think tanks together to provide the intellectual basis of the Think20 process and inform high-level discussions at the G20, G7, and other global governance forums. As a Berlin-based independent, non-profit organization, we annually convene the Global Solutions Summit, which serves as a stepping stone to the G20 and G7 Summits. Our ne",2017,"Berlin, Germany"
Goodly Labs,https://www.goodlylabs.org/,,"Goodly Labs is a nonprofit organization leading research and development of prosocial technologies that develop public capacity to understand and improve society. Goodly's ready-to-scale projects empower responsible citizens to address vital democratic concerns, including misinformation, police and protester interactions, the oversight of elected officials, and deliberation/governance. Future projects will also produce tools for improving social life offline and scaffolding better interpersonal",2014,"Berkeley, California"
Gray Area,https://grayarea.org/,,"Gray Area is a technically-literate cultural hub catalyzing creative action for social transformation. Our mission is to cultivate, sustain, and amplify a community of artists who apply antidisciplinary practice — integrating art, technology, science, and the humanities — towards engaging with the complex challenges facing our world. Through Cultural Events, Antidisciplinary Education, and Creative Research and Development we maintain a platform that enables artists of diverse backgrounds and pe",2008,"San Francisco, California"
Human Change,https://humanchange.com/,,"Human Change is a global advocacy campaign that strives to reshape the global narrative on children’s mental health by spotlighting the impact of social media and digital devices on children’s healthy development. We are only just beginning to see the broad implications of the digital pandemic in our society: negative impacts to mental and physical health, increased divisiveness, weakened social connectivity, performance issues within the Gen Z and Gen Alpha workforce and a loss of critical life",2024,"London, United Kingdom"
Hello Humanity,https://hellohumanity.com/,,"HelloHumanity's vision is to birth a life-affirming future by cultivating the ethical, leadership, and profoundly human skills essential for a new paradigm of eco-civilizational flourishing alongside AI.",,"New York, New York"
GETTING-Plurality Research Network,https://gettingplurality.org/,,"Governance of Emerging Technology and Tech Innovations for Next-Gen Governance (GETTING-Plurality) seeks to advance understanding of how to shape, guide, govern, and deploy technological development in support of democracy, collective intelligence, and other public goods. Our focus is on how to do so, given the plural nature of human intelligence. We pursue foundational analysis and theory, field-building, and policy development to foresee and mitigate potential harms to democracy and to strengt",,"Cambridge, Massachusetts"
History Communication Institute,https://historycommunication.com/,,"The History Communication Institute (HCI) promotes the effective and ethical communication of history through new media and new technologies–and seeks to improve how social media and the Web treat information about the past. Through trainings, programming, resources and funding, we’re creating a diverse community of stakeholders focused on improving the overall landscape for history content online and building the future of teaching and communicating historical information more broadly.",2022,"Washington, D.C."
Heat Initiative,http://heatinitiative.org/,,The Heat Initiative is a collective effort of concerned child safety experts and advocates encouraging leading technology companies to detect and eradicate child sexual abuse images and videos on their platforms.,,"Los Angeles, California"
Global Disinformation Index,https://www.disinformationindex.org/,,"GDI provides independent, neutral and transparent data and intelligence to advise policymakers and business leaders about how to combat disinformation and its creators. GDI uses both human and artificial intelligence to assess disinformation risk across the open web. We then provide these risk ratings to brands and advertising technology partners, providing them with a trusted and neutral source of data with which to direct their advertising spend.",,"Sutton Coldfield, United Kingdom"
Heartland Forward,https://heartlandforward.org/,,"Heartland Forward, an institute for economic renewal, is a nonpartisan, nonprofit “think and do tank” focused on improving economic performance in the center of the United States.",2020,"Bentonville, Arkansas"
GliaNet Alliance,https://www.glianetalliance.org/,,GliaNet Alliance is a coalition of private sector companies and aligned organizations committed to building a new trust-based Web ecosystem. We reject extractive digital models and champion a governance approach rooted in fiduciary principles and human-centered innovation.,2024,"Emerald Hills, California"
Imperative 21,https://www.inclusivecapitalism.com/organization/imperative-21/,,"Imperative 21 is a business-led network that believes the imperative of the 21st century is to RESET our economic system so that its purpose is to create shared well being on a healthy planet. Network steward organizations include B Lab, The B Team, Chief Executives for Corporate Purpose (CECP), Common Future, Conscious Capitalism, Inc., Global Impact Investing Network (GIIN), JUST Capital, and Participant.",2020,"New York, New York"
Independent Sector,https://independentsector.org/,,"Independent Sector is the only national membership organization that brings together a diverse community of changemakers at nonprofits, foundations, and corporate giving programs working to strengthen civil society and ensure all people in the United States thrive.",1976,"Washington, D.C."
La Plateforme,https://laplateforme.io/en/entreprise/,,"La Plateforme is a school of digital and new technologies co-founded with the Club Top 20 bringing together the major companies of the Aix Marseille metropolis. It includes a diversified training offer designed to train coders and web developers, security experts, engineers specialized in Artificial Intelligence, and company executives through continuing education cycles.",2019,France
Keranaut,http://www.keranaut.com/,,"Keranaut is a group of experts in organizational adaptation, crisis planning, and forecasting, who believe humanity is not ready for the scale of disruption AI will bring to society in the next 3-10 years.",2025,"Bay Village, Ohio"
Less Than Three,http://lessthan3sc.org/,,"The Less Than 3 Foundation is a non-profit organization fiercely committed to combating the teenage suicide crisis and promoting holistic mental wellness. We achieve this by addressing the five critical factors impacting youth mental health: raising awareness and advocating for stringent online safety for minors, providing resources to build mental fortitude and self-acceptance, encouraging physical activity and unplugging from technology, promoting a drug-free lifestyle for minors.",2023,"Rock Hill, South Carolina"
Institute for Security and Technology,https://securityandtechnology.org/,,"As new technologies present humanity with unprecedented capabilities, they can also pose unimagined risks to global security. The Institute for Security and Technology’s (IST) mission is to bridge gaps between technology and policy leaders to help solve these emerging security problems together.",2015,"California, United States of America"
Institute of Technology and Society,https://itsrio.org/,,"Through its own research and in partnership with other institutions, ITS Rio analyzes the legal, social, economic and cultural dimensions of technology and advocates for public policies and private practices that protect privacy, freedom of expression and access to knowledge. The Institute also offers innovative methods of education, training and opportunities for individuals and institutions, enabling them to understand the promises and challenges of new technologies. Finally, ITS Rio aims at s",2013,"Rio de Janeiro, Brazil"
Internet Archive,https://archive.org/,,"The Internet Archive is building a digital library of web pages, books, software and other cultural artifacts in digital form. Like a physical library, it provides free access to researchers, historians, scholars, the print disabled, and the general public. Its mission is to provide Universal Access to All Knowledge.",1996,"San Francisco, California"
Humane Intelligence,https://humane-intelligence.org/,,"Humane Intelligence is a 501(c)(3) nonprofit dedicated to breaking down barriers to AI deployment for social good. We collaboratively design and run rigorous evaluations that make AI systems more accountable, responsible, and fair. Our mission is to empower people and organizations that represent or have lived experience in a given problem space, through our technical AI evaluation design, our convening events, and our red teaming web application.",2023,"Katy, Texas"
Issue One,https://issueone.org/,,"We unite Republicans, Democrats, and independents in the movement to fix our broken political system and build an inclusive democracy that works for everyone. We educate the public and work to pass legislation on Capitol Hill to bolster U.S. elections, strengthen ethics and accountability, increase government transparency, and reduce the corrosive influence of big money in politics.",2012,"Washington, D.C."
Inclusive Design Institute,https://www.theidi.org/,,IDI’s mission is to unlock unprecedented economic opportunities and foster a more equitable society through intentional inclusion of historically underestimated communities.,,"Las Vegas, Nevada"
Integrity Institute,https://integrityinstitute.org/,,"The Integrity Institute is a member-powered think tank that advances the theory and practice of protecting the social internet. Our members are professionals who have direct integrity work experience at social platform companies. Our goals are to help companies do integrity work better, to help the world understand integrity work better, and to promote integrity professionals so they would have more power and influence. We accomplish these goals by building the community of integrity professiona",,"Beltsville, Maryland"
