Name,composite_score,ai_ml_relevance,tech_gap,mission_impact,size_sweet_spot,org_viability,growth_signal,estimated_headcount,top_reason,Website,About,Year Founded,Location,funding_search,recent_news
Data-Pop Alliance,81.2,5,4,3,4,4,4,unknown,"Strong AI/ML alignment in humanitarian data work with recent funding, but impact leans toward research platforms over direct measurable field outcomes, limiting individual IC leverage.",https://datapopalliance.org/,"Data-Pop Alliance (DPA) is a non-profit “think-and-do-tank” created in 2013 by the Harvard Humanitarian Initiative, MIT Connection Science, and ODI that brings together researchers, practitioners, and activists from all over the world who want to “Change the World with Data” through 3 pillars of work: diagnosing local realities and human problems with data and AI; mobilizing capacities, communities, and ideas towards more data literate societies; and, ultimately, transforming the systems and pro",,Virtual,"Data-Pop Alliance received $350,000 from the Patrick J. McGovern Foundation in 2023 and $300,000 from the same foundation for Data Feminism in 2023. FHLBank San Francisco announced $8 million in grants for 2025.","Data-Pop Alliance's 2025 updates highlight AI advancements, new collaborations, and global engagement on technology and equity. The 2025 year review emphasizes collective work, learning, and the role of data in inclusive development. The organization focuses on empowering leaders and government collaboration for social impact."
Metagov,81.2,5,4,3,4,4,4,20-40,"Metagov is a solid fit for AI/ML expertise in governance infrastructure but limited to research outputs rather than scalable, measurable field impact.",https://metagov.org/,"The Metagovernance Project is an interdisciplinary research collective. We build standards and infrastructure for digital self-governance. Our work is generously supported by the Henry Luce Foundation, One Project, the Grant for the Web, Gitcoin grants, the Filecoin Foundation, the Ethereum Foundation, the EPSRC / University of Oxford, GnosisDAO, Aragon, Radicle, Metacartel Ventures, NEAR, and the Stanford Digital Civil Society Lab. Our finances are hosted publicly on Open Collective.",2020,"Pittsburgh, Pennsylvania",Metagov received a $750K NSF grant in 2024. Metagov's FY 2025 funding is through FEMA's Nonprofit Security Grant Program. Metagov's funding relies heavily on grants and contributions.,"Metagov expanded its research and community in 2024, welcoming new researchers and launching new projects. In 2025, Metagov plans to continue its work on digital governance and community engagement. Metagov's financial support and events remain active."
The Digital Credentials Consortium,81.2,5,4,3,4,4,4,unknown,"Strong AI/ML alignment via Walmart-funded generative AI credential tools and open-source tech stack, but limited evidence of scaled measurable impact beyond pilots and summits makes it a solid but not standout fit for high-impact fractional engineering.",https://digitalcredentials.mit.edu/,"The DCC is a membership based global network of postsecondary higher education institutions working together to promote the adoption of W3C Verifiable Credentials. Open source software includes the Learner Credential Wallet mobile application for storing and sharing credentials, customizable issuer microservices, and VerifierPlus web application. We lead and contribute to deployments, research, and advocacy projects that leverage technology in service of equity and opportunity.",2018,"Cambridge, Massachusetts",The Digital Credentials Consortium raised funding in 2025 with Walmart's support. The consortium focuses on digital credentials in education and employment. The 2025 project aims to create AI-powered credential tools.,The Digital Credentials Consortium focuses on privacy-enhanced digital academic credentials; its 2025 summit is scheduled for June 26-27; the consortium's work continues to gain momentum and recognition.
Creative Commons,80.0,4,4,4,3,5,4,30-50,"Creative Commons is a stable, long-established org with steady funding and recent strategic initiatives, but lacks clear evidence of internal tech needs or precise headcount making it a middling fit for a fractional IC focused on data pipelines.",https://creativecommons.org/,"Creative Commons (CC) is an international nonprofit organization dedicated to helping build and sustain a thriving commons of shared knowledge and culture. With our community, we build capacity, we develop practical solutions, and we advocate for better open sharing of knowledge and culture. CC’s long focus on open sharing has evolved into a focus on better sharing: We must pursue a commons of knowledge and culture that is inclusive, just, and which inspires reciprocity — a commons that truly se",2001,"Mountain View, California","Creative Commons raised $5,131,012 in 2024 and had $3,871,933 in expenses. They launched new projects in 2023 with support from foundations and companies. Nonprofits can find funding opportunities on grantsforcreators.com.","Creative Commons expanded its impact in 2024 and 2025, focusing on open access and AI interventions, with plans for continued growth in 2026. They launched new initiatives and secured funding to support their mission."
Heartland Forward,80.0,4,4,4,3,4,5,unknown,"Heartland Forward shows strong funding and measurable impact in economic development with emerging AI focus, but as a think-and-do tank its tech needs may not demand intensive data pipelines and staff size is unclear.",https://heartlandforward.org/,"Heartland Forward, an institute for economic renewal, is a nonpartisan, nonprofit “think and do tank” focused on improving economic performance in the center of the United States.",2020,"Bentonville, Arkansas","Heartland Forward received $40.5 million from the People First AI Fund in 2025. In 2023, it disbursed grants totaling $1.8 million and received $7.0 million from Town Branch Foundation. Specific 2024 and 2025 funding details are not available.","Heartland Forward aims for $500 million economic impact by 2030, launched initiatives in 2024, and plans to focus on AI in 2025."
Omidyar Network,80.0,4,4,4,3,5,4,50-100,"Omidyar Network is a highly viable funder with substantial resources and AI initiatives, but as a grant-making philanthropy rather than an operational nonprofit, it lacks the direct internal tools-building needs of a hands-on org where a fractional IC would make a huge impact.",https://omidyar.com/,"Omidyar Network is a social change venture that works to bring about structural changes that will fundamentally shift the systems that govern our daily lives. Established by philanthropists Pam and Pierre Omidyar, Omidyar Network reimagines critical systems, and the ideas that govern them, to build more inclusive and equitable societies—for the benefit of the many, not just the few. Omidyar Network partners with funders, advocates, innovators, businesses, scholars, and others to advance respo",2004,"Redwood City, California",Omidyar Network has awarded nearly $2 billion by 2025 to over 700 organizations. It focuses on grants to nonprofits and investments in for-profit companies. Michele Jawando became president in 2025.,"Omidyar Network focuses on responsible technology, reimagining capitalism, and building cultures of belonging. In 2025, it announced policy priorities for government leaders. It does not accept unsolicited funding proposals."
"Centre for Media, Technology, and Democracy",78.8,5,4,3,3,4,4,20-40,"Strong AI/ML relevance in media-tech-democracy research with solid university-backed funding, but primarily academic outputs lack proven measurable impact and operational scale for a fractional IC to drive major change.",https://www.mediatechdemocracy.com/,"The Centre for Media, Technology and Democracy (CMTD) is an interdisciplinary research centre at McGill University dedicated to understanding and strengthening the relationship between media, technology, and democracy. In an era where digital platforms have transformed how we communicate, organize, and govern, the Centre addresses both the opportunities and challenges these technologies present to democratic societies.",2019,"Montreal, Quebec, Canada","The Centre for Media, Technology, and Democracy received funding from multiple organizations in 2024 and 2025. In 2024, it was funded by Global Affairs Canada and Heritage Canada, among others. In 2025, it has not received specific grant amounts from listed sources.","The Centre for Media, Technology, and Democracy focuses on legislative advocacy and technology impact studies; it received a $5 million grant in 2024; its 2024 report highlighted concerns about nonconsensual intimate image infringement."
Common Sense Media Inc,78.8,4,3,4,3,5,5,unknown,"Exceptionally well-funded ($37.98M revenue, $200K Gates grant in Dec 2025, $2M Ballmer support) with clear AI/ML relevance for media analysis and digital literacy, but likely too large or too well-resourced in engineering to need a fractional IC.",https://www.commonsensemedia.org/,"Since 2003, Common Sense has been the leading source of entertainment and technology recommendations for families and schools. Every day, millions of parents and educators trust Common Sense reviews and advice to help them navigate the digital world with their kids. Together with policymakers, industry leaders, and global media partners, we're building a digital world that works better for all kids, their families, and their communities.",2003,"San Francisco, California","Common Sense Media raised $24.7 million in grants and contributions in 2024. In 2025, it received a $1.55 million grant from Carnegie Corporation. The organization's total revenue for 2024 was $37.98 million.","Common Sense Media's 2024-2025 Annual Report highlights its focus on sustainability and impact, with revenues reaching $30 million. The organization's initiatives include digital literacy programs and AI research. The 2025 Census shows increasing digital media use among young children."
Institute for Security and Technology,78.8,5,4,3,3,4,4,25-40,"Strong mission-tech alignment and solid funding ($4.56M in 2024, access to $600K NSGP grants) make this viable, but policy-focused research orgs rarely need production data pipelines or internal tools—impact is mostly advisory, not operational.",https://securityandtechnology.org/,"As new technologies present humanity with unprecedented capabilities, they can also pose unimagined risks to global security. The Institute for Security and Technology’s (IST) mission is to bridge gaps between technology and policy leaders to help solve these emerging security problems together.",2015,"California, United States of America","The Institute for Security and Technology raised $4.56 million in 2024, including a $1 million late-year contribution. For 2025, the Nonprofit Security Grant Program has $274.5 million available. The 2025 grant program allows up to $600,000 per organization.",The Institute for Security and Technology focuses on cybersecurity and AI policy; 2025 saw increased AI-powered cyber threats; nonprofits face significant cybersecurity challenges.
Centre for Data Futures,77.5,5,4,2,5,4,3,10-20,"Strong AI/data focus and recent funding make it relevant for an AI/ML expert, but limited evidence of measurable impact beyond pilots and policy work reduces its appeal for high-impact contributions.",https://www.kcl.ac.uk/research/centre-for-data-futures,"The Centre for Data Futures at King's College London is the first-ever dedicated academic centre of expertise to focus on designing and studying the effect of participatory infrastructure over the life cycle of data-reliant tools: from the point of data generation, through data empowerment structures, all the way to interface design that incentivises long-term, collective participation.",2024,"London, United Kingdom",The Centre for Data Futures raised £5.4m in 2023-2024. Funding details for 2025 are not available. The Centre focuses on AI and data empowerment.,"In 2024, nonprofits faced funding disruptions; in 2025, many used AI for impact; most Canadian nonprofits used AI but lacked confidence."
Engage Media,77.5,4,4,4,3,4,4,25-40,"Strong regional digital rights org with 19-year track record, documented $2.5M 2025 funding, and clear need for tech infrastructure to support distributed activism work—ideal for fractional IC, though distributed team structure may complicate collaboration.",https://engagemedia.org/,"Established in 2005, EngageMedia is a regional human rights collective with a distributed team in eight countries across Asia-Pacific dedicated to advocating digital rights and championing open technology in the region. We combine capacity building, knowledge sharing, tech enablement, community development, and digital storytelling to support civil society organisers, grassroots activists, independent journalists, academics, lawyers, and other human rights defenders who are working towards the r",,"Melbourne, Australia","Engage Media nonprofit funding grants awarded $550,000 in 2024, $100,000 in 2023, and $2.5 million in 2025. NBCUniversal Local Impact Grants focus on youth education and community engagement.","Nonprofits in 2025 focus on visual, interactive content for engagement. Short-form videos and live streams are key. Platforms prioritize meaningful interactions over passive likes."
Goodly Labs,77.5,5,4,2,4,4,4,unknown,"Goodly Labs has strong AI relevance and recent funding but lacks evidence of measurable impact or detailed operations, making it a risky fit despite tech alignment.",https://www.goodlylabs.org/,"Goodly Labs is a nonprofit organization leading research and development of prosocial technologies that develop public capacity to understand and improve society. Goodly's ready-to-scale projects empower responsible citizens to address vital democratic concerns, including misinformation, police and protester interactions, the oversight of elected officials, and deliberation/governance. Future projects will also produce tools for improving social life offline and scaffolding better interpersonal",2014,"Berkeley, California","Goodly Labs raised $5.9 million in 2025, focusing on AI safety and biosecurity. They also announced plans for 2025 grants. Specific 2023 and 2024 figures are not available.",Goodly Labs is a nonprofit focused on enhancing democracy and social impact through technology. They aim to improve coordination and decision-making for societal benefit. Their work includes developing tools that support collective intelligence and prosocial software.
MIT Center for Constructive Communication,77.5,5,3,3,4,4,4,20-50,"Strong AI relevance in dialogue tools and recent initiatives with notable funding from Reid Hoffman and McKinsey, but limited evidence of scalable impact or headcount makes it a moderate fit for a senior IC role.",http://www.ccc.mit.edu/,"Designing tools, methods and systems that connect rather than divide us to create a healthier society.",1861,"Cambridge, Massachusetts","MIT Center for Constructive Communication received funding from Reid Hoffman and McKinsey & Company. It also secured a 2024 Infrastructure Fund award. Current data does not specify exact amounts raised in 2023, 2024, or 2025.","The MIT Center for Constructive Communication advanced research on AI and community engagement in 2024-2025, focusing on dialogue and trust. It launched new initiatives like CoCo and expanded global programs. The center's impact spans academia, journalism, and governance."
The Policy Circle,77.5,3,5,3,5,4,4,6-7,"Too small with limited scale and primarily policy-focused work, making AI/ML contributions feel peripheral despite a tech gap and growth.",http://www.thepolicycircle.org/,"The Policy Circle is a national nonpartisan nonprofit that informs, equips, and connects women to lead in their communities and influence policy rooted in personal and economic freedom. Through Briefs, Circle Conversations, our online Community, and CLER, we spark dialogue and build civic leadership skills. We’re growing a community of curious, solutions-oriented women ready to champion freedom-driven policies that strengthen communities.",2015,"Wilmette, Illinois","The Policy Circle raised $2.8 million in 2024, a 20% increase from 2023. In 2025, they aim to celebrate their 10th anniversary and expand their programs. The organization's primary revenue source is donations.",The Policy Circle's 2024 annual report highlights a 20% increase in fundraising and the launch of a Civic Coaching program. The organization focuses on women's civic leadership and community impact. The 2025 budget cuts may affect nonprofit programs and services.
Starling Lab for Data Integrity,77.5,5,3,3,4,4,4,unknown,"Strong AI/ML alignment in data integrity and cryptography research with recent blockchain funding, but limited evidence of measurable impact or internal tech team makes it a risky fractional IC fit.",http://starlinglab.org/,"Starling Lab was co-founded by the Stanford Department of Electrical Engineering and the USC Shoah Foundation to explore the future of data integrity and trust in digital records. We implement prototypes using applied cryptography that empower citizens and civil society to pursue accountability, preserve culture, and respect privacy through a framework to design for their authenticity. Our impact-oriented academic research focuses on the fields of journalism, law, and history.",,"Stanford, California","Starling Lab for Data Integrity did not disclose specific funding grants for 2023, 2024, or 2025. Available data highlights its focus on investigative support and thought leadership. No explicit grant figures were provided.","The Starling Lab focuses on data integrity, combats misinformation, and uses technology to preserve human rights records. It launched in 2021 with support from USC and Stanford. The lab's framework includes capturing, storing, and verifying digital content."
Transparency Coalition.ai,77.5,5,4,4,4,2,3,unknown,"Focused on AI policy advocacy with real legislative wins but lacks disclosed funding, headcount, or established longevity as a 2024-founded org soliciting donations without confirmed major backers.",https://www.transparencycoalition.ai/,"We advocate for our mission through two complementary entities: The Transparency Coalition, a 501(c)(3) Nonprofit Organization is dedicated to conducting research, developing content, and educating the public on the opportunities and risks associated with generative AI. The Transparency Coalition Action Fund, a 501(c)(4) Social Welfare Organization is specifically designed to engage in advocacy and lobbying activities to influence public policy and legislation related to generative AI.",2024,"Seattle, Washington","Transparency Coalition raised funds through donations in 2023, 2024, and 2025 to support AI policy advocacy and education. The exact amounts are not specified. Donations are tax-deductible for the nonprofit Transparency Coalition.","Transparency Coalition.AI focused on AI legislation in 2024 and 2025, including California's AI chatbot law and advocating for ""duty of care"" laws. They released a 2025 State AI Legislation Report highlighting 73 new AI laws in 27 states. The coalition aims to promote transparency and safety in AI development."
Ashoka,76.2,3,4,5,3,5,3,100-200,"Ashoka is a highly established pioneer in social entrepreneurship with proven global impact through thousands of fellows, but its network-focused model offers limited direct opportunities for building AI/ML data pipelines as a fractional IC.",https://www.ashoka.org/en-us,"Ashoka is the world’s largest network of social entrepreneurs. The organization pioneered the field of social entrepreneurship forty years ago and has supported to date almost four thousand Ashoka Fellows across the globe with stipends, catalytic connections, strategic advice, and an unmatched peer community that is for life. Drawing insights from its network, Ashoka identifies and open-sources the underlying patterns of transformative change and has introduced and mainstreamed such words as “so",1982,"Arlington, Virginia","Ashoka raised €591,358 in FY23-24, funded by corporate, foundation, and network contributions. Ashoka does not accept government funding. Ashoka's FY24 budget includes €100,000 in corporate contributions.",Ashoka's 2024-2025 initiatives include expanding leadership programs and launching new collaborations for social impact. The organization also announced new fellows for 2025 focusing on climate and community solutions. Ashoka's financial statements for 2024-2025 show ongoing operations and strategic investments.
American Security Foundation,76.2,5,4,3,3,4,3,unknown,"Perfect AI/ML mission alignment and likely tech gaps, but founded in 2024 with unclear headcount and impact track record—high risk/high reward for a fractional IC bet.",http://www.americansecurityfund.com/american-security-foundation,"ASFoundation works to ensure AI is understandable, controllable, responsible, ethical, and human-centered - and insists the best way to achieve these goals is for America and its allies to lead the tech revolution. It focuses on conducting original research and analysis; supporting external research and analysis; and engaging academics, ethicists, and faith communities, both to educate them about AI and to involve them in AI development and regulation.",2024,United States of America,The Security Foundation provided $454.5 million in grants in 2024. The 2025 funding is $274.5 million. The 2026 funding is pending.,"The American Security Foundation's 2024 annual report highlights significant advancements and partnerships, including a Memorandum of Understanding with the U.S. State Department. The foundation continues to support U.S.-based nonprofits serving the security industry. The 2025 tax bill may negatively impact nonprofits."
Internet Archive,76.2,5,2,5,3,4,3,200-500,"Internet Archive's massive data preservation mission perfectly suits AI/ML expertise for tools and pipelines, but as a large established org with in-house tech capabilities, a fractional IC would have limited impact.",https://archive.org/,"The Internet Archive is building a digital library of web pages, books, software and other cultural artifacts in digital form. Like a physical library, it provides free access to researchers, historians, scholars, the print disabled, and the general public. Its mission is to provide Universal Access to All Knowledge.",1996,"San Francisco, California","The Internet Archive received a $750,000 grant from The Mellon Foundation in 2024 and a $1 million grant from Press Forward in 2025. The 2023 fiscal year financials show a net loss of $8.99 million. The Global Fund allocated $12.4 billion for 2023-2025.","The Internet Archive faced a significant data breach in 2024, affecting 31 million user accounts. In 2025, it collaborated with Google for Wayback Machine links and was designated a Federal Depository Library. The Archive also celebrated reaching 1 trillion milestones in preservation."
OpenMined,76.2,5,4,3,3,4,3,unknown,"Perfect AI/ML fit with proven funding and high tech relevance, but unclear headcount and limited public impact metrics make it hard to assess if you'd actually move the needle or be lost in an unknown-sized org.",https://openmined.org/,"OpenMined is a non-profit foundation creating open-source technology infrastructure that helps researchers and app builders get answers from data without needing a copy or direct access. Our community of technologists is building Syft: the public network for non-public information, and our online ecosystem of over 17,000 technologists, researchers, and industry professionals are keen to unlock 1000x more data in every scientific field and industry.",2017,"New York, New York","OpenMined received funding from Open Philanthropy in 2023 and 2024, with plans for continued support in 2025. The organization also explored alternative funding sources like tech companies and crowdfunding platforms. As of 2026, specific grant amounts and details are not available.",OpenMined is a nonprofit focused on privacy-preserving AI. It aims to create a public network for non-public information. It received support for initiatives in 2024 and plans for 2025.
